Base Item,Add Item,Confidence,Lift
"('Almond Twist',)","('Apple Pie',)",0.4967502321262767,4.933951451393293
"('Apple Pie',)","('Almond Twist',)",0.4959607998940538,4.933951451393293
"('Almond Twist',)","('Coffee Eclair',)",0.5109430959013133,3.6025883418819684
"('Coffee Eclair',)","('Almond Twist',)",0.3621321801259754,3.602588341881968
"('Almond Twist',)","('Hot Coffee',)",0.4341424592120971,3.246653149955856
"('Hot Coffee',)","('Almond Twist',)",0.3263535746335626,3.246653149955856
"('Apple Croissant',)","('Apple Danish',)",0.43500148060408644,4.853482749971212
"('Apple Danish',)","('Apple Croissant',)",0.43707229991074087,4.853482749971212
"('Apple Croissant',)","('Apple Tart',)",0.4376665679597276,4.84787957421054
"('Apple Tart',)","('Apple Croissant',)",0.4365677152562399,4.84787957421054
"('Apple Croissant',)","('Cherry Soda',)",0.3618596387326029,4.356955033704482
"('Cherry Soda',)","('Apple Croissant',)",0.39235832396853426,4.356955033704482
"('Apple Danish',)","('Apple Tart',)",0.43394822969354363,4.806692841089318
"('Apple Tart',)","('Apple Danish',)",0.43080785703736524,4.806692841089318
"('Apple Danish',)","('Cherry Soda',)",0.3667063373995835,4.415311495419612
"('Cherry Soda',)","('Apple Danish',)",0.39572965162947504,4.415311495419612
"('Apple Pie',)","('Coffee Eclair',)",0.514236524963581,3.625809849794921
"('Coffee Eclair',)","('Apple Pie',)",0.3650465356773526,3.6258098497949205
"('Apple Pie',)","('Hot Coffee',)",0.4371606409747053,3.269224057543414
"('Hot Coffee',)","('Apple Pie',)",0.32914547811347095,3.269224057543414
"('Apple Tart',)","('Cherry Soda',)",0.3582927189484567,4.314007693230735
"('Cherry Soda',)","('Apple Tart',)",0.38946861454487075,4.314007693230735
"('Apricot Croissant',)","('Blueberry Tart',)",0.5354397950469684,4.910489683115998
"('Blueberry Tart',)","('Apricot Croissant',)",0.5366837857666912,4.910489683115998
"('Apricot Croissant',)","('Hot Coffee',)",0.45492253263389043,3.4020530409354652
"('Hot Coffee',)","('Apricot Croissant',)",0.37182171702064015,3.4020530409354652
"('Apricot Danish',)","('Cherry Tart',)",0.5915992463703869,4.884943683560389
"('Cherry Tart',)","('Apricot Danish',)",0.5876912914235385,4.8849436835603885
"('Apricot Danish',)","('Opera Cake',)",0.486091100520891,4.52037601228355
"('Opera Cake',)","('Apricot Danish',)",0.5438313701177929,4.52037601228355
"('Berry Tart',)","('Bottled Water',)",0.46024299290268256,4.665885978332143
"('Bottled Water',)","('Berry Tart',)",0.5171668018383346,4.665885978332143
"('Blackberry Tart',)","('Coffee Eclair',)",0.5108201977023777,3.6017218038618344
"('Coffee Eclair',)","('Blackberry Tart',)",0.3594998589827959,3.6017218038618344
"('Blackberry Tart',)","('Single Espresso',)",0.40836227624899807,4.532658090672615
"('Single Espresso',)","('Blackberry Tart',)",0.45241971289033595,4.532658090672615
"('Blueberry Tart',)","('Hot Coffee',)",0.45365615064808024,3.39258264020401
"('Hot Coffee',)","('Blueberry Tart',)",0.3699272110878452,3.39258264020401
"('Casino Cake',)","('Chocolate Cake',)",0.4995943753380206,4.543419200964174
"('Chocolate Cake',)","('Casino Cake',)",0.4480417121377471,4.543419200964174
"('Casino Cake',)","('Chocolate Coffee',)",0.493374797187669,4.533583654628177
"('Chocolate Coffee',)","('Casino Cake',)",0.44707179612839987,4.533583654628176
"('Cheese Croissant',)","('Orange Juice',)",0.5472872075659532,4.570375299793619
"('Orange Juice',)","('Cheese Croissant',)",0.4897004787885536,4.570375299793619
"('Cherry Tart',)","('Opera Cake',)",0.4865132665418914,4.524301920724347
"('Opera Cake',)","('Cherry Tart',)",0.5479231246125232,4.524301920724347
"('Chocolate Cake',)","('Chocolate Coffee',)",0.541408997211107,4.974966281650701
"('Chocolate Coffee',)","('Chocolate Cake',)",0.5470472923303112,4.974966281650702
"('Chocolate Tart',)","('Vanilla Frappucino',)",0.5032795845859525,4.960048468324104
"('Vanilla Frappucino',)","('Chocolate Tart',)",0.4839684625492773,4.960048468324104
"('Chocolate Tart',)","('Walnut Cookie',)",0.41131456682153594,4.577621681498026
"('Walnut Cookie',)","('Chocolate Tart',)",0.44665380620270073,4.577621681498027
"('Coffee Eclair',)","('Single Espresso',)",0.2942558992197048,3.2661229009142905
"('Single Espresso',)","('Coffee Eclair',)",0.4632233239603374,3.2661229009142905
"('Gongolais Cookie',)","('Truffle Cake',)",0.5036390101892285,4.616024167688151
"('Truffle Cake',)","('Gongolais Cookie',)",0.5496761578883049,4.61602416768815
"('Green Tea',)","('Lemon Cookie',)",0.3911218724778046,4.360657118453299
"('Lemon Cookie',)","('Green Tea',)",0.3601902779842426,4.360657118453299
"('Green Tea',)","('Lemon Lemonade',)",0.39031476997578685,4.37245821481464
"('Lemon Lemonade',)","('Green Tea',)",0.3611650485436893,4.37245821481464
"('Green Tea',)","('Raspberry Cookie',)",0.39079903147699757,4.357057731644837
"('Raspberry Cookie',)","('Green Tea',)",0.35989296863386355,4.3570577316448365
"('Green Tea',)","('Raspberry Lemonade',)",0.3878934624697336,4.327236305998813
"('Raspberry Lemonade',)","('Green Tea',)",0.357429718875502,4.327236305998813
"('Lemon Cake',)","('Lemon Tart',)",0.4571082879612825,4.602379057201797
"('Lemon Tart',)","('Lemon Cake',)",0.507182172103638,4.602379057201797
"('Lemon Cookie',)","('Lemon Lemonade',)",0.43154452207521926,4.834329970969597
"('Lemon Lemonade',)","('Lemon Cookie',)",0.4336071695294997,4.834329970969597
"('Lemon Cookie',)","('Raspberry Cookie',)",0.4334770328526832,4.832879064062917
"('Raspberry Cookie',)","('Lemon Cookie',)",0.4334770328526832,4.832879064062917
"('Lemon Cookie',)","('Raspberry Lemonade',)",0.43199048610078783,4.819170973904371
"('Raspberry Lemonade',)","('Lemon Cookie',)",0.4322475085527294,4.819170973904371
"('Lemon Lemonade',)","('Raspberry Cookie',)",0.43450336071695295,4.844321696710491
"('Raspberry Cookie',)","('Lemon Lemonade',)",0.43243645012635645,4.844321696710491
"('Lemon Lemonade',)","('Raspberry Lemonade',)",0.4291262135922331,4.7872179115599405
"('Raspberry Lemonade',)","('Lemon Lemonade',)",0.42733898557191735,4.7872179115599405
"('Marzipan Cookie',)","('Tuile Cookie',)",0.5876571428571428,4.488216467849868
"('Tuile Cookie',)","('Marzipan Cookie',)",0.5236252545824847,4.488216467849869
"('Napolean Cake',)","('Strawberry Cake',)",0.5421258878275778,4.47643307134959
"('Strawberry Cake',)","('Napolean Cake',)",0.48739403280854343,4.47643307134959
"('Raspberry Cookie',)","('Raspberry Lemonade',)",0.42990932064813436,4.79595404560614
"('Raspberry Lemonade',)","('Raspberry Cookie',)",0.4301651048639,4.795954045606139
"('Vanilla Frappucino',)","('Walnut Cookie',)",0.39658344283837055,4.413675354337111
"('Walnut Cookie',)","('Vanilla Frappucino',)",0.4478409259534056,4.413675354337111
